gugun,dong,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_plus
2024,중곡제4동,10788,17896,41904,45038,38326,55477,52138,40585
2024,중림동,10147,7893,14792,23290,23044,20169,17870,16416
2024,중앙동,3486,5840,49228,35840,18035,18213,17721,19276
2024,중화제1동,9364,12510,24861,32183,27864,32510,35854,28516
2024,중화제2동,8916,10620,34868,39222,32614,46372,49110,38234
2024,증산동,11053,13671,24099,27549,26860,32949,29791,25835
2024,진관동,35179,76026,72747,66541,97888,101033,75979,66940
2024,창신제1동,1121,1879,5776,6585,5290,9087,11028,8557
2024,창신제2동,1680,3569,9993,9827,8530,17875,16712,13472
2024,창신제3동,3070,4526,8669,9951,8753,12759,12013,9503
2024,창제1동,11971,20793,32150,34177,38429,46727,41284,37371
2024,창제2동,14207,21630,39431,41528,43800,54103,49305,43151
2024,창제3동,5215,9695,16174,16011,20332,26733,25824,23604
2024,창제4동,15086,24957,38505,37988,42314,52223,44996,34046
2024,창제5동,12337,18757,34264,37426,34159,46466,43258,34957
2024,천연동,11046,13521,21025,25542,25981,32048,26829,25895
2024,천호제1동,11638,16348,35177,42095,39648,47548,50297,40661
2024,천호제2동,15293,17457,50122,66750,51951,55824,56881,46180
2024,천호제3동,11792,11735,47828,56543,38519,41938,45240,35135
2024,청구동,6721,7817,17051,23837,17576,23309,22999,22184
2024,청담동,17563,24033,33911,39953,47997,43950,32938,28561
2024,청량리동,6450,10103,24139,23698,23324,33040,41665,42455
2024,청룡동,10963,16414,127499,82796,41124,42854,36851,36908
2024,청림동,11106,11582,17651,25892,24612,25372,22335,22386
2024,청운효자동,6220,11530,14975,16570,20060,20998,15771,17118
2024,청파동,5171,10403,44048,37168,24637,32522,27550,24923
2024,충현동,10964,14114,32174,36702,30434,34758,30516,25955
2024,평창동,10595,16730,21487,22441,26849,34149,31046,26677
2024,풍납1동,5706,7401,13713,17714,17105,21527,24967,19836
2024,풍납2동,16527,20208,34950,40252,40118,39230,36353,29376
2024,필동,1447,2207,8741,9223,5727,6312,6733,6409
2024,하계1동,9220,31685,50464,28496,35181,52676,43279,35810
