period,deal_ym,percentile,percentile_label,threshold_price_manwon,count_above_threshold,total_count,ratio
전체,,35,상위 35%,137603.56013044168,15034,42954,35.000232807189086
전체,,36,상위 36%,135759.01758628024,15464,42954,36.00130372025888
전체,,37,상위 37%,133799.47406061878,15893,42954,37.00004656143781
전체,,38,상위 38%,132362.32800700905,16323,42954,38.00111747450761
전체,,39,상위 39%,130477.75947281712,16753,42954,39.002188387577405
전체,,40,상위 40%,128621.75662997569,17182,42954,40.00093122875634
전체,,41,상위 41%,127047.38297514406,17611,42954,40.999674069935274
전체,,42,상위 42%,125787.52107925802,18042,42954,42.003073054895935
전체,,43,상위 43%,124303.62116991644,18471,42954,43.001815896074866
전체,,44,상위 44%,122771.92183230263,18900,42954,44.00055873725381
전체,,45,상위 45%,121181.74001134034,19329,42954,44.99930157843274
전체,,46,상위 46%,119625.56102903392,19759,42954,46.00037249150254
전체,,47,상위 47%,118624.52044154682,20189,42954,47.001443404572335
전체,,48,상위 48%,117630.4455270776,20619,42954,48.00251431764213
전체,,49,상위 49%,116146.78487136534,21047,42954,48.998929086930204
전체,,50,상위 50%,114655.16950328351,21477,42954,50.0
전체,,51,상위 51%,113437.8126042014,21910,42954,51.00805512874238
전체,,52,상위 52%,111996.86415679216,22336,42954,51.999813754248734
전체,,53,상위 53%,110396.78553490707,22768,42954,53.005540811100246
전체,,54,상위 54%,108864.06822097843,23195,42954,53.99962750849746
전체,,55,상위 55%,107755.6784747558,23626,42954,55.003026493458115
전체,,56,상위 56%,106227.80368308004,24054,42954,55.999441262746195
전체,,57,상위 57%,104857.4780007116,24484,42954,57.000512175815985
전체,,58,상위 58%,103721.0078424829,24916,42954,58.0062392326675
전체,,59,상위 59%,102424.42557707393,25343,42954,59.000325930064726
전체,,60,상위 60%,101204.81927710844,25775,42954,60.00605298691624
전체,,61,상위 61%,99961.62029730288,26202,42954,61.000139684313446
전체,,62,상위 62%,98850.3031692693,26631,42954,61.998882525492384
전체,,63,상위 63%,97698.5584764323,27061,42954,62.99995343856219
전체,,64,상위 64%,96364.27815037064,27492,42954,64.00335242352284
전체,,65,상위 65%,95050.39018647485,27920,42954,64.9997671928109
전체,,66,상위 66%,93972.2881996929,28349,42954,65.99851003398986
전체,,67,상위 67%,92915.9802306425,28780,42954,67.0019090189505
전체,,68,상위 68%,91651.39173849038,29209,42954,68.00065186012945
전체,,69,상위 69%,90503.10517692006,29638,42954,68.99939470130838
전체,,70,상위 70%,89328.96940244951,30068,42954,70.00046561437817
전체,,71,상위 71%,88421.05263157893,30499,42954,71.00386459933883
전체,,72,상위 72%,87499.99999999999,30928,42954,72.00260744051776
전체,,73,상위 73%,86454.89563934784,31356,42954,72.99902220980584
전체,,74,상위 74%,85386.41943244232,31786,42954,74.00009312287563
전체,,75,상위 75%,84240.17793130016,32215,42954,74.99883596405456
전체,,76,상위 76%,83564.42858068904,32645,42954,75.99990687712437
전체,,77,상위 77%,82655.10340226817,33076,42954,77.00330586208503
전체,,78,상위 78%,81772.27635857889,33504,42954,77.9997206313731
전체,,79,상위 79%,80822.8874356084,33933,42954,78.99846347255203
전체,,80,상위 80%,79879.87987987988,34364,42954,80.00186245751269
전체,,81,상위 81%,79068.12566184257,34793,42954,81.00060529869162
전체,,82,상위 82%,78079.77409106954,35227,42954,82.01098849932485
전체,,83,상위 83%,77038.61272772677,35651,42954,82.9980909810495
전체,,84,상위 84%,75990.71099734516,36081,42954,83.99916189411928
전체,,85,상위 85%,74755.26549985167,36512,42954,85.00256087907995
전체,,86,상위 86%,73629.35223591962,36940,42954,85.99897564836803
전체,,87,상위 87%,72410.59343431245,37370,42954,87.00004656143781
전체,,88,상위 88%,71184.44026865617,37799,42954,87.99878940261675
전체,,89,상위 89%,69998.31944640586,38229,42954,88.99986031568655
전체,,90,상위 90%,68842.12565762346,38658,42954,89.99860315686549
전체,,91,상위 91%,67516.07864260706,39088,42954,90.99967406993528
전체,,92,상위 92%,66181.81818181818,39518,42954,92.00074498300508
