period,deal_ym,percentile,percentile_label,threshold_price_manwon,count_above_threshold,total_count,ratio
전체,,32,상위 32%,50012.708818019695,145463,454571,32.00006159653827
전체,,33,상위 33%,49095.571030447085,150009,454571,33.00012539295292
전체,,34,상위 34%,48142.71728471814,154554,454571,33.99996920173086
전체,,35,상위 35%,47225.28581035642,159101,454571,35.0002529857822
전체,,36,상위 36%,46302.177777935496,163647,454571,36.00031678219684
전체,,37,상위 37%,45466.31209846328,168192,454571,37.00016059097479
전체,,38,상위 38%,44589.20601500558,172737,454571,38.00000439975273
전체,,39,상위 39%,43866.9609877297,177285,454571,39.00050817144077
전체,,40,상위 40%,43064.23099587507,181830,454571,40.00035198021871
전체,,41,상위 41%,42284.62249228697,186376,454571,41.00041577663335
전체,,42,상위 42%,41556.7771824081,190921,454571,42.0002595854113
전체,,43,상위 43%,40826.21948067506,195466,454571,43.000103394189246
전체,,44,상위 44%,40092.988346101265,200011,454571,43.99994720296719
전체,,45,상위 45%,39464.504728476546,204557,454571,45.000010999381836
전체,,46,상위 46%,38660.96364298276,209103,454571,46.00007479579647
전체,,47,상위 47%,38026.26533262131,213648,454571,46.999918604574425
전체,,48,상위 48%,37397.49779459001,218194,454571,47.99998240098907
전체,,49,상위 49%,36692.090672067076,222740,454571,49.000046197403705
전체,,50,상위 50%,36119.20042975487,227286,454571,50.00010999381834
전체,,51,상위 51%,35557.060616322386,231833,454571,51.00039377786968
전체,,52,상위 52%,34948.57630667522,236377,454571,52.00001759901094
전체,,53,상위 53%,34403.65352867487,240923,454571,53.00008139542558
전체,,54,상위 54%,33756.90517482931,245468,454571,53.99992520420353
전체,,55,상위 55%,33210.14586323521,250014,454571,54.999989000618164
전체,,56,상위 56%,32630.816621749924,254560,454571,56.00005279703281
전체,,57,상위 57%,32110.560304004866,259105,454571,56.999896605810754
전체,,58,상위 58%,31548.20281947499,263651,454571,57.99996040222539
전체,,59,상위 59%,30936.656337226235,268197,454571,59.000024198640034
전체,,60,상위 60%,30410.41999364438,272743,454571,60.00008799505467
전체,,61,상위 61%,29778.321068199715,277288,454571,60.99993180383263
전체,,62,상위 62%,29343.086076949316,281834,454571,61.999995600247274
전체,,63,상위 63%,28730.40634671694,286381,454571,63.00027938429861
전체,,64,상위 64%,28177.96610169492,290930,454571,64.00100314362332
전체,,65,상위 65%,27684.33269223073,295473,454571,65.0004069771279
전체,,66,상위 66%,27136.985064205765,300017,454571,66.00003079826914
전체,,67,상위 67%,26607.538802660754,304563,454571,67.00009459468377
전체,,68,상위 68%,26004.69601554867,309108,454571,67.99993840346173
전체,,69,상위 69%,25497.67047861076,313655,454571,69.00022218751306
전체,,70,상위 70%,24981.589531524394,318199,454571,69.99984600865432
전체,,71,상위 71%,24511.061275299973,322747,454571,71.00034978034235
전체,,72,상위 72%,23895.58232931727,327309,454571,72.00393337894411
전체,,73,상위 73%,23438.59649122807,331841,454571,73.00091734844501
전체,,74,상위 74%,22856.027437185465,336382,454571,73.99988120667619
전체,,75,상위 75%,22412.046475369818,340928,454571,74.99994500309083
전체,,76,상위 76%,21853.293903609287,345474,454571,76.00000879950547
전체,,77,상위 77%,21370.849344608498,350019,454571,76.99985260828342
전체,,78,상위 78%,20878.805838703567,354565,454571,77.99991640469806
전체,,79,상위 79%,20352.064183109367,359111,454571,78.99998020111269
전체,,80,상위 80%,19801.9801980198,363669,454571,80.00268384916768
전체,,81,상위 81%,19332.999309727074,368202,454571,80.99988780630528
전체,,82,상위 82%,18788.355216604006,372748,454571,81.99995160271992
전체,,83,상위 83%,18248.46275030606,377294,454571,83.00001539913457
전체,,84,상위 84%,17728.251234646068,381852,454571,84.00271904718954
전체,,85,상위 85%,17186.700767263428,386387,454571,85.00036297960054
전체,,86,상위 86%,16666.666666666668,390931,454571,85.9999868007418
전체,,87,상위 87%,16061.204425294523,395476,454571,86.99983060951975
전체,,88,상위 88%,15448.504983388704,400024,454571,88.00033438120778
전체,,89,상위 89%,14848.49009795184,404568,454571,88.99995820234903
전체,,90,상위 90%,14235.500878734623,409114,454571,90.00002199876367
전체,,91,상위 91%,13596.024428126804,413659,454571,90.99986580754161
전체,,92,상위 92%,12906.946740402573,418205,454571,91.99992960395626
