sido,gugun,dong,jibun,complex_name,area_m2,deal_ym,deal_day,price_만원,floor,built_year,deal_date,행정동+단지명
서울특별시,강남구,개포동,185,개포주공6단지,73.02,202408,31,268000,3,1983,2024-08-31,개포주공6단지
서울특별시,동작구,사당동,105,극동(105),109.7,202408,31,117000,2,1993,2024-08-31,극동(105)
서울특별시,광진구,광장동,218-1,극동1,126.94,202408,30,225000,5,1985,2024-08-30,극동1
서울특별시,동작구,사당동,105,극동(105),51.57,202408,30,89000,5,1993,2024-08-30,극동(105)
서울특별시,강남구,개포동,12,성원대치2단지아파트,39.53,202408,28,122500,2,1992,2024-08-28,성원대치2단지아파트
서울특별시,동작구,사당동,105,사당우성2,118.25,202408,28,154000,8,1993,2024-08-28,사당우성2
서울특별시,동작구,사당동,105,신동아4,59.89,202408,28,99900,8,1993,2024-08-28,사당동신동아4
서울특별시,노원구,하계동,284,한신2,44.52,202408,28,45500,7,1988,2024-08-28,하계동한신2
서울특별시,동대문구,휘경동,57,주공2,39.98,202408,27,43800,5,2001,2024-08-27,휘경동주공2
서울특별시,광진구,광장동,218-1,극동2,84.55,202408,27,180000,13,1989,2024-08-27,극동2
서울특별시,동작구,사당동,105,사당우성3,108.08,202408,26,122000,13,1993,2024-08-26,사당우성3
서울특별시,동작구,사당동,105,극동(105),51.57,202408,25,88500,8,1993,2024-08-25,극동(105)
서울특별시,노원구,하계동,284,한신1,35.28,202408,24,38000,6,1988,2024-08-24,하계동한신1
서울특별시,동대문구,휘경동,57,주공2,39.98,202408,24,42000,2,2001,2024-08-24,휘경동주공2
서울특별시,광진구,광장동,218-1,극동1,84.55,202408,24,178000,1,1985,2024-08-24,극동1
서울특별시,동작구,사당동,105,사당우성3,46.75,202408,24,77000,2,1993,2024-08-24,사당우성3
서울특별시,동작구,사당동,105,극동(105),84.32,202408,24,103500,12,1993,2024-08-24,극동(105)
서울특별시,동작구,사당동,105,사당우성3,84.66,202408,24,114000,2,1993,2024-08-24,사당우성3
서울특별시,강남구,개포동,185,개포주공6단지,83.21,202408,24,277700,5,1983,2024-08-24,개포주공6단지
서울특별시,동작구,사당동,105,극동(105),119.5,202408,23,112500,9,1993,2024-08-23,극동(105)
서울특별시,동작구,사당동,105,사당우성3,108.08,202408,23,125000,15,1993,2024-08-23,사당우성3
