complex_name_meta,apt_unmatched_count,gugun,dong,road_address,addr_road_name,addr_road_detail,지번주소
더샵파크솔레이유아파트,1,강동구,둔촌동,서울특별시 강동구 진황도로61길 25-23,진황도로61길,25-23,둔촌동85-2
대치효성,1,강남구,대치동,서울특별시 강남구 삼성로64길 12,삼성로64길,12,대치동988-4
대우월드마크용산,1,용산구,한강로1가,서울특별시 용산구 한강대로 211,한강대로,211,한강로1가64
대방동신일해피트리 아파트,1,동작구,대방동,,,,nan
대림코오롱,1,영등포구,대림동,서울특별시 영등포구 도영로 2-5,도영로,2025-02-05 00:00:00,서울영등포구도영로2-5
대림우성,1,영등포구,대림동,서울특별시 영등포구 도림로 187,도림로,187,대림동762-1
대림갑을명가,1,영등포구,대림동,서울특별시 영등포구 대림로22길 29,대림로22길,29,대림동1119
당산현대5차,1,영등포구,당산동4가,서울특별시 영등포구 당산로42길 16,당산로42길,16,당산동4가30-1
당산현대3차,1,영등포구,당산동4가,서울특별시 영등포구 당산로41길 23,당산로41길,23,당산동4가88
당산한양,1,영등포구,당산동3가,서울특별시 영등포구 영신로 193,영신로,193,당산동3가2-6
당산푸르지오,1,영등포구,영등포동8가,서울특별시 영등포구 영중로 154,영중로,154,영등포동8가91
당산진로,1,영등포구,당산동1가,서울특별시 영등포구 당산로 68,당산로,68,당산동1가16-1
당산유원제일2차,1,영등포구,당산동5가,서울특별시 영등포구 선유동2로 56,선유동2로,56,당산동5가7-2
당산유원제일1차,1,영등포구,당산동4가,서울특별시 영등포구 국회대로29길 13,국회대로29길,13,당산동4가91
당산쌍용예가클래식,1,영등포구,당산동3가,서울특별시 영등포구 당산로31길 32,당산로31길,32,당산동3가559
당산신동아파밀리에,1,영등포구,당산동1가,서울특별시 영등포구 영신로33길 3,영신로33길,3,당산동1가457
당산센트럴아이파크,1,영등포구,당산동5가,서울특별시 영등포구 영신로 247,영신로,247,당산동5가43
당산성원아파트,1,영등포구,당산동5가,서울특별시 영등포구 양평로 57,양평로,57,당산동5가40
당산상아,1,영등포구,당산동5가,,,,nan
당산삼익,1,영등포구,당산동3가,서울특별시 영등포구 국회대로 552,국회대로,552,당산동3가394
당산삼성래미안,1,영등포구,당산동5가,서울특별시 영등포구 당산로 214,당산로,214,당산동5가42
금호자이1차,1,성동구,금호동2가,서울특별시 성동구 금호로 117,금호로,117,금호동2가1215
금호어울림,1,영등포구,문래동3가,서울특별시 영등포구 문래로 137,문래로,137,문래동3가97
상계수락한신,1,노원구,상계동,서울특별시 노원구 동일로242길 80,동일로242길,80,상계동1277
강남한신휴플러스 8단지,1,강남구,율현동,,,,nan
거평,1,강남구,논현동,,,,nan
개포주공4단지,1,강남구,개포동,,,,nan
개포주공1단지,1,강남구,개포동,서울특별시 강남구 개포로 310,개포로,310,개포동660-1
개봉건영,1,구로구,개봉동,서울특별시 구로구 고척로21나길 85-6,고척로21나길,1985-06-01 00:00:00,서울구로구고척로21나길85-6
개봉거성,1,구로구,개봉3동,,개봉로15길,91,개봉동270-80
강서금호어울림퍼스티어,1,강서구,화곡동,서울특별시 강서구 화곡로54길 43,화곡로54길,43,화곡동1176
강변건영,1,성동구,성수동1가,서울특별시 성동구 왕십리로 36,왕십리로,36,성수동1가710
강동밀레니얼중흥S-클래스,1,강동구,천호동,서울특별시 강동구 올림픽로78길 60,올림픽로78길,60,천호동423-200
강동리엔파크 14단지 아파트,1,강동구,상일동,서울특별시 강동구 고덕로98길 160,고덕로98길,160,상일동28
강남효성해링턴코트,1,강남구,세곡동,서울특별시 강남구 자곡로7길 36-1,자곡로7길,1936-01-01 00:00:00,서울강남구자곡로7길36-1
강남파라곤,1,강남구,논현동,,,,nan
