sido,gugun,dong,deal_ym,aptcode,price_84m2,built_date,households
서울특별시,강남구,개포동,202410,A13599303,349236,1983-10-26,1060.0
서울특별시,강남구,개포동,202410,A13599402,335243,1983-10-26,940.0
서울특별시,강남구,개포동,202411,A10023565,217407,1987-11-21,270.0
서울특별시,강남구,개포동,202411,A10023996,207098,2021-12-01,232.0
서울특별시,강남구,개포동,202411,A10024564,311164,2020-09-28,2296.0
서울특별시,강남구,개포동,202411,A10025203,325936,2019-08-29,1320.0
서울특별시,강남구,개포동,202411,A10025675,290029,2019-02-26,1957.0
서울특별시,강남구,개포동,202411,A13524006,229879,1986-01-31,558.0
서울특별시,강남구,개포동,202411,A13524009,257752,1992-10-14,1753.0
서울특별시,강남구,개포동,202411,A13580002,231076,1987-09-21,261.0
서울특별시,강남구,개포동,202411,A13580602,225730,1984-03-08,678.0
서울특별시,강남구,개포동,202411,A13594007,254449,1992-10-14,822.0
서울특별시,강남구,개포동,202411,A13599402,336152,1983-10-26,940.0
서울특별시,강남구,개포동,202412,A10025203,345112,2019-08-29,1320.0
서울특별시,강남구,개포동,202412,A13524005,201141,1984-04-20,416.0
서울특별시,강남구,개포동,202412,A13524009,252687,1992-10-14,1753.0
서울특별시,강남구,논현동,202401,A13583301,163061,2003-12-24,160.0
서울특별시,강남구,논현동,202401,B11680022,103701,,113.0
서울특별시,강남구,논현동,202401,B11680050,100952,,65.0
서울특별시,강남구,논현동,202402,A13501001,186760,2004-06-02,203.0
서울특별시,강남구,논현동,202402,A13501002,91407,2004-11-26,260.0
서울특별시,강남구,논현동,202402,A13501004,148374,1997-07-04,644.0
서울특별시,강남구,논현동,202403,A10022476,116403,2005-07-20,63.0
서울특별시,강남구,논현동,202403,A13501002,90261,2004-11-26,260.0
서울특별시,강남구,논현동,202403,A13501004,200403,1997-07-04,644.0
서울특별시,강남구,논현동,202403,A13582002,175967,1985-08-03,548.0
서울특별시,강남구,논현동,202403,A13583301,154050,2003-12-24,160.0
서울특별시,강남구,논현동,202404,A13501001,183349,2004-06-02,203.0
서울특별시,강남구,논현동,202404,A13501002,86800,2004-11-26,260.0
서울특별시,강남구,논현동,202404,A13501006,222803,2014-12-08,368.0
서울특별시,강남구,논현동,202404,A13501007,147203,1996-07-24,111.0
서울특별시,강남구,논현동,202404,A13583301,150385,2003-12-24,160.0
서울특별시,강남구,논현동,202404,B11680022,91763,,113.0
서울특별시,강남구,논현동,202404,B11680050,78705,,65.0
서울특별시,강남구,논현동,202405,A13501004,163978,1997-07-04,644.0
서울특별시,강남구,논현동,202405,A13501006,200480,2014-12-08,368.0
서울특별시,강남구,논현동,202405,A13582002,199792,1985-08-03,548.0
서울특별시,강남구,논현동,202406,A10022476,112839,2005-07-20,63.0
서울특별시,강남구,논현동,202406,A13501002,88955,2004-11-26,260.0
서울특별시,강남구,논현동,202406,A13501004,158645,1997-07-04,644.0
서울특별시,강남구,논현동,202406,A13501007,154229,1996-07-24,111.0
서울특별시,강남구,논현동,202406,A13582002,202770,1985-08-03,548.0
서울특별시,강남구,논현동,202406,A13583301,170978,2003-12-24,160.0
서울특별시,강남구,논현동,202407,A13501002,92921,2004-11-26,260.0
서울특별시,강남구,논현동,202407,A13501004,190717,1997-07-04,644.0
서울특별시,강남구,논현동,202407,A13501006,229688,2014-12-08,368.0
서울특별시,강남구,논현동,202407,A13501007,152829,1996-07-24,111.0
서울특별시,강남구,논현동,202407,A13582002,205481,1985-08-03,548.0
서울특별시,강남구,논현동,202407,A13583301,165823,2003-12-24,160.0
서울특별시,강남구,논현동,202407,B11680050,102849,,65.0
서울특별시,강남구,논현동,202408,A13501004,198061,1997-07-04,644.0
서울특별시,강남구,논현동,202408,A13501006,239400,2014-12-08,368.0
서울특별시,강남구,논현동,202408,A13582002,212163,1985-08-03,548.0
