complex_name,unmatched_count,gugun,dong,jibun
은빛1단지,42,노원구,상계동,1255
라이프미성,42,은평구,불광동,248
휘경SK뷰,41,동대문구,휘경동,372
고덕주공9,41,강동구,명일동,257
한일유앤아이,41,구로구,구로동,1281
목동센트럴아이파크위브1단지,41,양천구,신월동,1075
마곡수명산파크4단지,41,강서구,내발산동,753
월곡래미안루나밸리,41,성북구,하월곡동,226
서초래미안,41,서초구,서초동,1682
거여1단지,41,송파구,거여동,290
수유벽산1차,41,강북구,수유동,205
서초힐스,41,서초구,우면동,773
배재현대,41,강동구,고덕동,312
홍제역해링턴플레이스,41,서대문구,홍제동,474
왕십리풍림아이원,41,성동구,하왕십리동,1061
파크하비오,41,송파구,문정동,618
백련산힐스테이트2차,41,은평구,응암동,760
성산시영(유원),40,마포구,성산동,446
한강(대우),40,용산구,이촌동,415
e-편한세상,40,강남구,역삼동,755-4
상암월드컵파크2단지,40,마포구,상암동,1637
남서울힐스테이트,40,금천구,시흥동,1026
목동신시가지11,40,양천구,신정동,325
푸른마을아파트101동~111동,40,강남구,일원동,719
강남자곡 힐스테이트,40,강남구,자곡동,619
목동우성2,40,양천구,신정동,337
한강맨숀,40,용산구,이촌동,300-23
동아1,40,구로구,신도림동,643
백련산파크자이,40,은평구,응암동,766
이수힐스테이트,40,동작구,동작동,333
강동리버스트4단지,39,강동구,강일동,114
강남자곡아이파크,39,강남구,자곡동,602
답십리파크자이,39,동대문구,답십리동,1014
삼성래미안트리베라2단지,39,강북구,미아동,812
마포래미안푸르지오3단지,39,마포구,아현동,777
래미안루센티아,39,서대문구,남가좌동,390
반포래미안아이파크,39,서초구,반포동,1341
구일우성,39,구로구,구로동,1259
꿈의숲해링턴플레이스,39,강북구,미아동,1369
문화촌현대,39,서대문구,홍제동,463
상계주공10(고층),39,노원구,상계동,666
주공19단지(창동리버타운),39,도봉구,창동,27
강촌,39,용산구,이촌동,402
현대I-PARK,39,양천구,목동,940
신공덕1차삼성래미안1아파트,39,마포구,신공덕동,155
성산시영(대우),39,마포구,성산동,446
서초더샵포레,39,서초구,내곡동,411
한강극동,39,송파구,풍납동,508
염리삼성래미안,38,마포구,염리동,520
역삼푸르지오,38,강남구,역삼동,754-1
리스트안암,38,동대문구,제기동,136-3
가양강나루현대,38,강서구,가양동,448-1
정릉e-편한세상,38,성북구,정릉동,1028
사당자이,38,동작구,사당동,1139
전농우성,38,동대문구,전농동,6
강변래미안,38,영등포구,당산동,376
래미안베라힐즈,38,은평구,녹번동,283
둔촌푸르지오,38,강동구,둔촌동,630
꿈의숲푸르지오,38,성북구,하월곡동,228
서울숲행당푸르지오,38,성동구,행당동,376
상록,37,마포구,염리동,515-1
동성1,37,중랑구,신내동,397
래미안파크스위트,37,광진구,구의동,668
한강타운,37,용산구,산천동,204
상계주공5(저층),37,노원구,상계동,721
신촌럭키,37,서대문구,대현동,144
문래자이,37,영등포구,문래동3가,54
상계주공2(고층),37,노원구,상계동,740
미륭,37,노원구,월계동,13
롯데캐슬아르떼,37,서초구,방배동,424-28
진흥아파트,37,강남구,삼성동,53-2
고덕리엔파크3단지,37,강동구,상일동,490
이편한세상청계센트럴포레,37,동대문구,용두동,795
래미안세레니티,37,성북구,종암동,133
